url,title,subtitle,article_release_date,author,topic
https://www.theguardian.com//australia-news/article/2024/jun/20/molly-ticehurst-alleged-murder-daniel-billings-trial-court-ntwnfb,Molly Ticehurst’s alleged murderer appears in NSW court,"Prosecutors given two months to finalise brief of evidence against Daniel Billings, who is accused of killing his 28-year-old former partner in Forbes",Thu 20 Jun 2024 02.57 BST,Tamsin Rose,new south wales
https://www.theguardian.com//film/article/2024/jun/19/a-dry-white-season-review-marlon-brando-heads-starry-cast-in-ground-breaking-apartheid-drama,,,Wed 19 Jun 2024 07.00 BST,Peter Bradshaw,film
https://www.theguardian.com//film/article/2024/jun/19/something-in-the-water-review-bridezilla-vs-jaws-as-shark-stalks-seagoing-wedding-party,,,Wed 19 Jun 2024 09.00 BST,Catherine Bray,film
https://www.theguardian.com//film/article/2024/jun/19/hells-angels-bikeriders-outlaws-jodie-comer-tom-hardy-austin-butler-jeff-nichols,"‘They ride, they drink, they get dangerous’: the blazing film inspired by the Hells Angels’ biggest rivals",,Wed 19 Jun 2024 15.44 BST,Ryan Gilbey,film
https://www.theguardian.com//games/article/2024/jun/19/the-disturbing-online-misogyny-of-gamergate-has-returned-if-it-ever-went-away,The disturbing online misogyny of Gamergate has returned – if it ever went away,,Wed 19 Jun 2024 15.00 BST,Keza MacDonald,pushing buttons newsletter
https://www.theguardian.com//commentisfree/article/2024/jun/19/my-dad-has-died-but-his-watch-ticks-on-why-does-that-feel-so-heartless,,,Wed 19 Jun 2024 16.23 BST,,opinion
https://www.theguardian.com//music/article/2024/jun/19/pharrell-williams-louis-vuitton-paris-fashion-week,Pharrell Williams celebrates ‘human athletic prowess’ at Paris fashion week,Musician and designer takes inspiration from Olympics and Euros for his Louis Vuitton show,Wed 19 Jun 2024 09.17 BST,Lauren Cochrane,louis vuitton
https://www.theguardian.com//food/article/2024/jun/19/how-to-make-the-perfect-borani-recipe-felicity-cloake,How to make the perfect borani – recipe,,,Felicity Cloake,how to cook the perfect ...
https://www.theguardian.com//food/article/2024/jun/19/its-a-flavour-bomb-the-rise-and-rise-of-the-dip,‘It’s a flavour-bomb!’ The rise and rise of the dip ,,Wed 19 Jun 2024 12.00 BST,Clare Finney,food
https://www.theguardian.com//commentisfree/article/2024/jun/19/putin-kim-ukraine-war-north-korea-weapons-world,,,Wed 19 Jun 2024 10.23 BST,,opinion
https://www.theguardian.com//commentisfree/article/2024/jun/19/groundless-complaints-can-drive-doctors-away-heres-why-patients-need-to-be-held-accountable,,,Tue 18 Jun 2024 16.00 BST,,opinion
https://www.theguardian.com//food/article/2024/jun/19/australian-supermarket-liquid-chicken-stock-taste-test-a-product-literally-made-from-chicken-does-not-taste-so,Australian supermarket liquid chicken stock taste test: ‘A product literally made from chicken does not taste so’,,Tue 18 Jun 2024 16.00 BST,Nicholas Jordan,taste test
https://www.theguardian.com//commentisfree/article/2024/jun/19/the-coalitions-nuclear-power-plan-offers-the-worst-of-all-energy-worlds-higher-emissions-and-higher-electricity-costs,The Coalition’s nuclear power plan offers the worst of all energy worlds: higher emissions and higher electricity costs,,Wed 19 Jun 2024 05.59 BST,,opinion
https://www.theguardian.com//technology/article/2024/jun/19/beats-solo-buds-review-apple-budget-earbuds,,,Wed 19 Jun 2024 07.00 BST,Samuel Gibbs,headphones
https://www.theguardian.com//commentisfree/article/2024/jun/19/peter-dutton-nuclear-power-plan-coalition-liberal-party-plant-sites-comment,Peter Dutton’s nuclear power push does not address the urgency of the climate crisis we now find ourselves in,,Wed 19 Jun 2024 04.25 BST,,opinion
https://www.theguardian.com//commentisfree/article/2024/jun/19/fly-kid-taylor-swift-concert-abroad,,,Wed 19 Jun 2024 11.01 BST,,opinion
https://www.theguardian.com//environment/article/2024/jun/19/corpse-flower-worlds-smelliest-plant-kew-gardens-london,The corpse flower: is this the world’s smelliest plant?,,Wed 19 Jun 2024 17.18 BST,,pass notes
https://www.theguardian.com//society/article/2024/jun/19/less-elvis-more-taylor-swift-a-clue-for-dated-cryptic-crossword-setters,"Less Elvis, more Taylor Swift: a clue for ‘dated’ cryptic crossword setters ",,Wed 19 Jun 2024 05.00 BST,Rachel Hall,young people
https://www.theguardian.com//society/article/2024/jun/19/a-30-second-walk-would-exhaust-me-natacha-life-with-long-covid,,,,,life with long covid
https://www.theguardian.com//us-news/article/2024/jun/19/ive-waited-a-long-time-for-this-woman-earns-stanford-masters-degree-at-105,‘I’ve waited a long time for this’: woman earns Stanford master’s degree at 105,Virginia Hislop left school to care for her family during the second world war; 83 years later she received diploma,Wed 19 Jun 2024 20.01 BST,Olivia Empson,california
https://www.theguardian.com//us-news/article/2024/jun/19/alex-murdaugh-son-sues-netflix,Alex Murdaugh’s son sues Netflix over docuseries linking him to 2015 death,Son of convicted murderer says Netflix defamed him when suggesting he was involved in death of Stephen Smith,Wed 19 Jun 2024 17.59 BST,Edward Helmore,alex murdaugh
https://www.theguardian.com//media/article/2024/jun/19/will-lewis-washington-post-publisher-boris-johnson-partygate,Washington Post publisher alleged to have advised Boris Johnson to ‘clean up’ phone during Partygate Covid scandal,"Sources’ claim suggests advice by Will Lewis, an informal adviser to then prime minister, contradicted instructions to staff",Wed 19 Jun 2024 17.28 BST,Anna Isaac,will lewis
https://www.theguardian.com//tv-and-radio/article/2024/jun/19/people-yell-cousin-at-me-all-day-ebon-moss-bachrach-fans-food-porn-the-bear,,,Wed 19 Jun 2024 05.00 BST,,the bear
https://www.theguardian.com//commentisfree/picture/2024/jun/19/ella-baron-rishi-sunak-increasingly-desperate-election-campaign-cartoon,Ella Baron on Rishi Sunak’s increasingly desperate election campaign – cartoon,,Wed 19 Jun 2024 18.44 BST,Ella Baron,guardian opinion cartoon
https://www.theguardian.com//politics/article/2024/jun/19/rishi-sunak-never-ending-apology-on-lbc-phone-in-elicits-a-sea-of-grimaces,Sunak’s never-ending apology on LBC phone-in elicits a sea of grimaces,,Wed 19 Jun 2024 14.14 BST,Marina Hyde,marina hyde’s campaign trail 2024
https://www.theguardian.com//commentisfree/picture/2024/jun/19/who-do-these-europeans-think-they-are-trying-to-ban-goods-from-areas-where-land-clearing-occurs,,,Wed 19 Jun 2024 07.26 BST,First Dog on the Moon,first dog on the moon
https://www.theguardian.com//uk-news/article/2024/jun/19/seven-month-old-baby-girl-dies-after-being-bitten-by-familys-dog-in-coventry,Seven-month-old baby girl dies after being bitten by family’s dog in Coventry,"Baby was treated at the scene by paramedics but died later in hospital, West Midlands police said",Wed 19 Jun 2024 16.50 BST,Nadeem Badshah,coventry
